FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"    bConfigurationValue: 1"
,,,,,,,,"    wIndex: 0 (0x0000)"
40,,41,host,3.4.0,URB_SUBMIT ('S'),SET CONFIGURATION (9),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
41,40,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"    bAlternateSetting: 0"
,,,,,,,,"    wInterface: 0"
42,,43,host,3.4.0,URB_SUBMIT ('S'),SET INTERFACE (11),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
43,42,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"    wValue: 0x0000"
,,,,,,,,"    wIndex: 0 (0x0000)"
44,,45,host,3.4.0,URB_SUBMIT ('S'),0,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"CONTROL response data: 00554d414e5546414354555245523a53696c686f75657474..."
45,44,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  00 55 4d 41 4e 55 46 41 43 54 55 52 45 52 3a 53   .UMANUFACTURER:S"
,,,,,,,,"0050  69 6c 68 6f 75 65 74 74 65 3b 4d 4f 44 45 4c 3a   ilhouette;MODEL:"
,,,,,,,,"0060  43 41 4d 45 4f 20 33 3b 43 4c 41 53 53 3a 50 52   CAMEO 3;CLASS:PR"
,,,,,,,,"0070  49 4e 54 45 52 3b 44 45 53 43 52 49 50 54 49 4f   INTER;DESCRIPTIO"
,,,,,,,,"0080  4e 3a 53 69 6c 68 6f 75 65 74 74 65 20 43 41 4d   N:Silhouette CAM"
,,,,,,,,"0090  45 4f 20 33 3b                                    EO 3;"
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
46,,47,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"DEVICE DESCRIPTOR"
,,,,,,,,"    bLength: 18"
,,,,,,,,"    bcdUSB: 0x0200"
,,,,,,,,"    bDeviceClass: Device (0x00)"
,,,,,,,,"    bDeviceSubClass: 0"
,,,,,,,,"    bDeviceProtocol: 0 (Use class code info from Interface Descriptors)"
,,,,,,,,"    bMaxPacketSize0: 64"
,,,,,,,,"    idVendor: Graphtec America, Inc. (0x0b4d)"
,,,,,,,,"    idProduct: Unknown (0x112f)"
,,,,,,,,"    bcdDevice: 0x0100"
