"1","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"230","3.3.2","host","'1' ETX"
"231","host","3.3.1","ESC ENQ"
"232","3.3.2","host","'1' ETX"
"233","host","3.3.1","ESC ENQ"
"234","3.3.2","host","'1' ETX"
"235","host","3.3.1","ESC ENQ"
"236","3.3.2","host","'1' ETX"
"237","host","3.3.1","ESC ENQ"
"238","3.3.2","host","'1' ETX"
"239","host","3.3.1","ESC ENQ"
"240","3.3.2","host","'0' ETX"
"241","host","3.3.1","ESC ENQ"
"242","3.3.2","host","'0' ETX"
"243","host","3.3.1","ESC ENQ"
"244","3.3.2","host","'0' ETX"
"245","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"246","host","3.3.1","'FX15,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"247","host","3.3.1","'FY1' ETX"
,,,"'TF4,1' ETX"
"248","host","3.3.1","ESC ENQ"
"249","3.3.2","host","'1' ETX"
"250","host","3.3.1","ESC ENQ"
"251","3.3.2","host","'1' ETX"
"252","host","3.3.1","ESC ENQ"
"253","3.3.2","host","'1' ETX"
"254","host","3.3.1","ESC ENQ"
"255","3.3.2","host","'1' ETX"
"256","host","3.3.1","ESC ENQ"
"257","3.3.2","host","'1' ETX"
"258","host","3.3.1","ESC ENQ"
"259","3.3.2","host","'1' ETX"
"260","host","3.3.1","ESC ENQ"
"261","3.3.2","host","'1' ETX"
"262","host","3.3.1","ESC ENQ"
"263","3.3.2","host","'1' ETX"
"264","host","3.3.1","ESC ENQ"
"265","3.3.2","host","'1' ETX"
"266","host","3.3.1","ESC ENQ"
"267","3.3.2","host","'1' ETX"
"268","host","3.3.1","ESC ENQ"
"269","3.3.2","host","'1' ETX"
"270","host","3.3.1","ESC ENQ"
"271","3.3.2","host","'1' ETX"
"272","host","3.3.1","ESC ENQ"
"273","3.3.2","host","'1' ETX"
"274","host","3.3.1","ESC ENQ"
"275","3.3.2","host","'1' ETX"
"276","host","3.3.1","ESC ENQ"
"277","3.3.2","host","'1' ETX"
"278","host","3.3.1","ESC ENQ"
"279","3.3.2","host","'1' ETX"
"280","host","3.3.1","ESC ENQ"
"281","3.3.2","host","'1' ETX"
"282","host","3.3.1","ESC ENQ"
"283","3.3.2","host","'1' ETX"
"284","host","3.3.1","ESC ENQ"
"285","3.3.2","host","'1' ETX"
"286","host","3.3.1","ESC ENQ"
