"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"664","3.3.2","host","'1' ETX"
"665","host","3.3.1","ESC ENQ"
"668","3.3.2","host","'1' ETX"
"670","host","3.3.1","ESC ENQ"
"672","3.3.2","host","'1' ETX"
"674","host","3.3.1","ESC ENQ"
"676","3.3.2","host","'1' ETX"
"678","host","3.3.1","ESC ENQ"
"680","3.3.2","host","'1' ETX"
"682","host","3.3.1","ESC ENQ"
"684","3.3.2","host","'1' ETX"
"686","host","3.3.1","ESC ENQ"
"688","3.3.2","host","'1' ETX"
"690","host","3.3.1","ESC ENQ"
"692","3.3.2","host","'1' ETX"
"694","host","3.3.1","ESC ENQ"
"696","3.3.2","host","'1' ETX"
"698","host","3.3.1","ESC ENQ"
"700","3.3.2","host","'1' ETX"
"702","host","3.3.1","ESC ENQ"
"704","3.3.2","host","'1' ETX"
"706","host","3.3.1","ESC ENQ"
"708","3.3.2","host","'1' ETX"
"710","host","3.3.1","ESC ENQ"
"712","3.3.2","host","'1' ETX"
"714","host","3.3.1","ESC ENQ"
"716","3.3.2","host","'1' ETX"
"718","host","3.3.1","ESC ENQ"
"720","3.3.2","host","'1' ETX"
"722","host","3.3.1","ESC ENQ"
"724","3.3.2","host","'1' ETX"
"726","host","3.3.1","ESC ENQ"
"728","3.3.2","host","'1' ETX"
"730","host","3.3.1","ESC ENQ"
"732","3.3.2","host","'1' ETX"
"734","host","3.3.1","ESC ENQ"
"736","3.3.2","host","'1' ETX"
"738","host","3.3.1","ESC ENQ"
"740","3.3.2","host","'1' ETX"
"742","host","3.3.1","ESC ENQ"
"744","3.3.2","host","'1' ETX"
"746","host","3.3.1","ESC ENQ"
"748","3.3.2","host","'0' ETX"
"749","host","3.3.1","'M254,2814' ETX"
"752","host","3.3.1","BE1 ... ETX"
"754","host","3.3.1","BE2 ... ETX"
"756","host","3.3.1","BE1 ... ETX"
"758","host","3.3.1","ESC ENQ"
"760","3.3.2","host","'1' ETX"
"761","host","3.3.1","ESC ENQ"
"764","3.3.2","host","'1' ETX"
"765","host","3.3.1","ESC ENQ"
"768","3.3.2","host","'1' ETX"
"770","host","3.3.1","ESC ENQ"
"772","3.3.2","host","'1' ETX"
"774","host","3.3.1","ESC ENQ"
"776","3.3.2","host","'1' ETX"
"778","host","3.3.1","ESC ENQ"
"780","3.3.2","host","'1' ETX"
"782","host","3.3.1","ESC ENQ"
"784","3.3.2","host","'1' ETX"
"786","host","3.3.1","ESC ENQ"
"788","3.3.2","host","'1' ETX"
"790","host","3.3.1","ESC ENQ"
"792","3.3.2","host","'1' ETX"
"794","host","3.3.1","ESC ENQ"
"796","3.3.2","host","'1' ETX"
"798","host","3.3.1","ESC ENQ"
"800","3.3.2","host","'1' ETX"
"802","host","3.3.1","ESC ENQ"
"804","3.3.2","host","'1' ETX"
"806","host","3.3.1","ESC ENQ"
"808","3.3.2","host","'0' ETX"
"809","host","3.3.1","ESC ENQ"
"812","3.3.2","host","'0' ETX"
"813","host","3.3.1","ESC ENQ"
