"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"716","host","3.2.1","ESC ENQ"
"718","3.2.2","host","'0' ETX"
"720","host","3.2.1","ESC ENQ"
"722","3.2.2","host","'0' ETX"
"724","host","3.2.1","ESC ENQ"
"726","3.2.2","host","'0' ETX"
"727","host","3.2.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"730","host","3.2.1","'FX33,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
"732","host","3.2.1","'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FY1' ETX"
,,,"'TF1,1' ETX"
"734","host","3.2.1","ESC ENQ"
"736","3.2.2","host","'1' ETX"
"737","host","3.2.1","ESC ENQ"
"740","3.2.2","host","'1' ETX"
"741","host","3.2.1","ESC ENQ"
"744","3.2.2","host","'1' ETX"
"746","host","3.2.1","ESC ENQ"
"748","3.2.2","host","'1' ETX"
"750","host","3.2.1","ESC ENQ"
"752","3.2.2","host","'1' ETX"
"754","host","3.2.1","ESC ENQ"
"756","3.2.2","host","'1' ETX"
"758","host","3.2.1","ESC ENQ"
"760","3.2.2","host","'1' ETX"
"762","host","3.2.1","ESC ENQ"
"764","3.2.2","host","'1' ETX"
"766","host","3.2.1","ESC ENQ"
"768","3.2.2","host","'1' ETX"
"770","host","3.2.1","ESC ENQ"
"772","3.2.2","host","'1' ETX"
"774","host","3.2.1","ESC ENQ"
"776","3.2.2","host","'1' ETX"
"778","host","3.2.1","ESC ENQ"
"780","3.2.2","host","'1' ETX"
"782","host","3.2.1","ESC ENQ"
"784","3.2.2","host","'1' ETX"
"786","host","3.2.1","ESC ENQ"
"788","3.2.2","host","'1' ETX"
"790","host","3.2.1","ESC ENQ"
"792","3.2.2","host","'1' ETX"
"794","host","3.2.1","ESC ENQ"
