"1","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"520","host","3.2.1","BE2 ... ETX"
"521","host","3.2.1","BE1 ... ETX"
"522","host","3.2.1","ESC ENQ"
"523","3.2.2","host","'1' ETX"
"524","host","3.2.1","ESC ENQ"
"525","3.2.2","host","'1' ETX"
"526","host","3.2.1","ESC ENQ"
"527","3.2.2","host","'1' ETX"
"528","host","3.2.1","ESC ENQ"
"529","3.2.2","host","'1' ETX"
"530","host","3.2.1","ESC ENQ"
"531","3.2.2","host","'1' ETX"
"532","host","3.2.1","ESC ENQ"
"533","3.2.2","host","'1' ETX"
"534","host","3.2.1","ESC ENQ"
"535","3.2.2","host","'1' ETX"
"536","host","3.2.1","ESC ENQ"
"537","3.2.2","host","'1' ETX"
"538","host","3.2.1","ESC ENQ"
"539","3.2.2","host","'1' ETX"
"540","host","3.2.1","ESC ENQ"
"541","3.2.2","host","'0' ETX"
"542","host","3.2.1","ESC ENQ"
"543","3.2.2","host","'0' ETX"
"544","host","3.2.1","ESC ENQ"
"545","3.2.2","host","'0' ETX"
"546","host","3.2.1","'L0' ETX"
,,,"'J1' ETX"
"547","host","3.2.1","'FX20,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"548","host","3.2.1","'FY1' ETX"
,,,"'TF3,1' ETX"
"549","host","3.2.1","ESC ENQ"
"550","3.2.2","host","'1' ETX"
"551","host","3.2.1","ESC ENQ"
"552","3.2.2","host","'1' ETX"
"553","host","3.2.1","ESC ENQ"
"554","3.2.2","host","'1' ETX"
"555","host","3.2.1","ESC ENQ"
"556","3.2.2","host","'1' ETX"
"557","host","3.2.1","ESC ENQ"
"558","3.2.2","host","'1' ETX"
"559","host","3.2.1","ESC ENQ"
"560","3.2.2","host","'1' ETX"
"561","host","3.2.1","ESC ENQ"
"562","3.2.2","host","'1' ETX"
"563","host","3.2.1","ESC ENQ"
"564","3.2.2","host","'1' ETX"
"565","host","3.2.1","ESC ENQ"
"566","3.2.2","host","'1' ETX"
"567","host","3.2.1","ESC ENQ"
"568","3.2.2","host","'1' ETX"
"569","host","3.2.1","ESC ENQ"
"570","3.2.2","host","'1' ETX"
"571","host","3.2.1","ESC ENQ"
"572","3.2.2","host","'1' ETX"
"573","host","3.2.1","ESC ENQ"
"574","3.2.2","host","'1' ETX"
"575","host","3.2.1","ESC ENQ"
"576","3.2.2","host","'1' ETX"
"577","host","3.2.1","ESC ENQ"
"578","3.2.2","host","'1' ETX"
"579","host","3.2.1","ESC ENQ"
"580","3.2.2","host","'1' ETX"
"581","host","3.2.1","ESC ENQ"
"582","3.2.2","host","'1' ETX"
"583","host","3.2.1","ESC ENQ"
"584","3.2.2","host","'1' ETX"
"585","host","3.2.1","ESC ENQ"
"586","3.2.2","host","'1' ETX"
"587","host","3.2.1","ESC ENQ"
"588","3.2.2","host","'1' ETX"
"589","host","3.2.1","ESC ENQ"
"590","3.2.2","host","'1' ETX"
"591","host","3.2.1","ESC ENQ"
"592","3.2.2","host","'1' ETX"
"593","host","3.2.1","ESC ENQ"
"594","3.2.2","host","'3' ETX"
"595","host","3.2.1","ESC ENQ"
"596","3.2.2","host","'3' ETX"
"597","host","3.2.1","ESC ENQ"
"598","3.2.2","host","'3' ETX"
"599","host","3.2.1","ESC ENQ"
"600","3.2.2","host","'3' ETX"
"601","host","3.2.1","ESC ENQ"
"602","3.2.2","host","'3' ETX"
"603","host","3.2.1","ESC ENQ"
"604","3.2.2","host","'3' ETX"
"605","host","3.2.1","ESC ENQ"
"606","3.2.2","host","'3' ETX"
"607","host","3.2.1","ESC ENQ"
"608","3.2.2","host","'3' ETX"
"609","host","3.2.1","ESC ENQ"
"610","3.2.2","host","'3' ETX"
"611","host","3.2.1","ESC ENQ"
"612","3.2.2","host","'3' ETX"
"613","host","3.2.1","ESC ENQ"
"614","3.2.2","host","'3' ETX"
"615","host","3.2.1","ESC ENQ"
"616","3.2.2","host","'3' ETX"
"617","host","3.2.1","ESC ENQ"
"618","3.2.2","host","'3' ETX"
"619","host","3.2.1","ESC ENQ"
"620","3.2.2","host","'3' ETX"
"621","host","3.2.1","ESC ENQ"
"622","3.2.2","host","'3' ETX"
"623","host","3.2.1","ESC ENQ"
"624","3.2.2","host","'3' ETX"
"625","host","3.2.1","ESC ENQ"
"626","3.2.2","host","'3' ETX"
"627","host","3.2.1","ESC ENQ"
"628","3.2.2","host","'3' ETX"
"629","host","3.2.1","ESC ENQ"
"630","3.2.2","host","'3' ETX"
"631","host","3.2.1","ESC ENQ"
"632","3.2.2","host","'4' ETX"
"633","host","3.2.1","'FN0' ETX"
,,,"'TB50,0' ETX"
